Questions,Answers
How do I reset my password,"Go to the login page and click on ""Forgot Password."""
Holiday Calendar 2024,Answers
Salary Slip Current month,https://drive.google.com/file/d/18wY4KOOCB5tVqliYmCS5Dtr5Dt1TVgld/view
Holiday Calendar 2025,https://drive.google.com/file/d/1i5LKIpE6RUdnl5Orulu0c2yJ0wIpGHR0/view
Form 16,https://drive.google.com/file/d/1IuZVqOKHJ_wLlVrUkf1isZTMe4_bBIx9/view
2025 key shifts,"Strategy Drives Decisions
Client at our core
One Gp
Progress Over Perfection
Own Your Outcomes"
What is the Dress code policy,
How to apply leaves,
How to fill my Timesheet,
